wl,n
0.3100,1.5256816675625
0.3224,1.5221812293318
0.3348,1.5190535105425
0.3472,1.5162477183967
0.3596,1.5137213762324
0.3720,1.5114387513639
0.3844,1.5093696168859
0.3968,1.5074882692956
0.4092,1.5057727436274
0.4216,1.5042041822321
0.4340,1.5027663239362
0.4464,1.5014450881605
0.4588,1.5002282344326
0.4712,1.4991050821292
0.4836,1.4980662786171
0.4960,1.4971036065029
0.5084,1.4962098226546
0.5208,1.4953785231651
0.5332,1.4946040296012
0.5456,1.4938812927982
0.5580,1.4932058111817
0.5704,1.4925735611677
0.5828,1.4919809376481
0.5952,1.4914247029278
0.6076,1.4909019427717
0.6200,1.4904100284552
0.6324,1.4899465839001
0.6448,1.4895094571333
0.6572,1.489096695432
0.6696,1.4887065236206
0.6820,1.4883373250737
0.6944,1.4879876250437
0.7068,1.4876560759979
0.7192,1.4873414446891
0.7316,1.4870426007337
0.7440,1.4867585064968
0.7564,1.4864882081179
0.7688,1.4862308275334
0.7812,1.4859855553688
0.7936,1.4857516445974
0.8060,1.48552840487
0.8184,1.4853151974366
0.8308,1.4851114305914
0.8432,1.4849165555788
0.8556,1.4847300629093
0.8680,1.4845514790381
0.8804,1.4843803633675
0.8928,1.4842163055354
0.9052,1.4840589229615
0.9176,1.4839078586223
0.9300,1.4837627790307
0.9424,1.4836233723996
0.9548,1.4834893469708
0.9672,1.4833604294914
0.9796,1.483236363824
0.9920,1.483116909677
1.004,1.483005487068
1.017,1.482889191609
1.029,1.4827857213951
1.042,1.4826776288746
1.054,1.48258137234
1.066,1.4824883410265
1.079,1.4823910316864
1.091,1.4823042711639
1.104,1.4822134483312
1.116,1.4821324077151
1.128,1.4820539346496
1.141,1.4819716952874
1.153,1.4818982331584
1.166,1.4818211900842
1.178,1.4817523213591
1.190,1.4816855218669
1.203,1.4816153957709
1.215,1.481552648351
1.228,1.4814867336507
1.240,1.4814277172116
1.252,1.4813703868868
1.265,1.4813101080772
1.277,1.4812560896627
1.290,1.4811992599627
1.302,1.4811483032807
1.314,1.4810987342725
1.327,1.481046542627
1.339,1.4809997068649
1.352,1.4809503669269
1.364,1.4809060671627
1.376,1.4808629198176
1.389,1.4808174314276
1.401,1.4807765596729
1.414,1.4807334494769
1.426,1.4806946961119
1.438,1.480656907706
1.451,1.4806170223877
1.463,1.480581143797
1.476,1.4805432574639
1.488,1.4805091621652
1.500,1.4804758809703
1.513,1.4804407152458
1.525,1.4804090487027
1.538,1.4803755753973
1.550,1.4803454207509
